"_ano_pesquisa","dimensao","cargo_atual","setor","valor","qtd_respondentes"
"2023","prioridade_empresa_ia",,"Tecnologia/Fábrica de Software","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","53"
"2023","prioridade_empresa_ia",,"Finanças ou Bancos","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","52"
"2023","prioridade_empresa_ia",,"Tecnologia/Fábrica de Software","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","43"
"2023","prioridade_empresa_ia",,"Finanças ou Bancos","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","41"
"2023","prioridade_empresa_ia",,"Tecnologia/Fábrica de Software","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","38"
"2023","prioridade_empresa_ia",,"Tecnologia/Fábrica de Software","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","35"
"2023","prioridade_empresa_ia",,"Finanças ou Bancos","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","33"
"2023","prioridade_empresa_ia",,"Varejo","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","32"
"2023","prioridade_empresa_ia",,"Varejo","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","28"
"2023","prioridade_empresa_ia",,"Área de Consultoria","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","25"
"2023","prioridade_empresa_ia",,"Área de Consultoria","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","25"
"2023","prioridade_empresa_ia",,"Indústria","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","21"
"2023","prioridade_empresa_ia",,"Outra Opção","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","20"
"2023","prioridade_empresa_ia",,"Área de Consultoria","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","20"
"2023","prioridade_empresa_ia",,"Outra Opção","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","18"
"2023","prioridade_empresa_ia",,"Outra Opção","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","18"
"2023","prioridade_empresa_ia",,"Setor Público","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","18"
"2023","prioridade_empresa_ia",,"Finanças ou Bancos","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","17"
"2023","prioridade_empresa_ia",,"Educação","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","17"
"2023","prioridade_empresa_ia",,"Educação","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","16"
"2023","prioridade_empresa_ia",,"Área da Saúde","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","15"
"2023","prioridade_empresa_ia",,"Varejo","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","14"
"2023","prioridade_empresa_ia",,"Área da Saúde","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","12"
"2023","prioridade_empresa_ia",,"Indústria","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","12"
"2023","prioridade_empresa_ia",,"Indústria","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","11"
"2023","prioridade_empresa_ia",,"Setor Alimentício","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","10"
"2023","prioridade_empresa_ia",,"Área de Consultoria","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","10"
"2023","prioridade_empresa_ia",,"Educação","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","9"
"2023","prioridade_empresa_ia",,"Agronegócios","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","9"
"2023","prioridade_empresa_ia",,"Setor Público","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","8"
"2023","prioridade_empresa_ia",,"Tecnologia/Fábrica de Software","Não sei opinar sobre esse assunto.","8"
"2023","prioridade_empresa_ia",,"Marketing","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","8"
"2023","prioridade_empresa_ia",,"Internet/Ecommerce","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","8"
"2023","prioridade_empresa_ia",,"Internet/Ecommerce","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","8"
"2023","prioridade_empresa_ia",,"Setor Alimentício","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","7"
"2023","prioridade_empresa_ia",,"Setor Imobiliário/ Construção Civil","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","7"
"2023","prioridade_empresa_ia",,"Marketing","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","7"
"2023","prioridade_empresa_ia",,"Indústria","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","7"
"2023","prioridade_empresa_ia",,"Setor Imobiliário/ Construção Civil","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","7"
"2023","prioridade_empresa_ia",,"Varejo","Sim, é nossa principal prioridade como empresa (com foco executivo significativo e alocação de orçamento relevante).","6"
"2023","prioridade_empresa_ia",,"Telecomunicação","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","6"
"2023","prioridade_empresa_ia",,"Internet/Ecommerce","Não é uma iniciativa que estamos focando e não tem sido uma prioridade.","6"
"2023","prioridade_empresa_ia",,"Setor Alimentício","Mais ou menos... É uma das várias iniciativas que estamos impulsionando, mas não é uma prioridade (tratam-se de iniciativas isoladas e com pouco foco).","6"
"2023","prioridade_empresa_ia",,"Área da Saúde","Sim, está entre nossas principais prioridades para os próximos 2-4 anos (com discussões de iniciativas e orçamentos de curto a médio prazo).","6"
"2023","prioridade_empresa_ia",,"Área de Consultoria","Não sei opinar sobre esse assunto.","5"
